CaesarCipherBruteForce,Brute-force decode a Caesar cipher by trying all possible shifts.
BinaryExponentiation,Implement binary exponentiation to quickly calculate large powers of numbers.
PointInTriangle,Determine if a given point is inside a triangle based on its coordinates.
CombinationsAndPermutations,Calculate combinations (nCr) and permutations (nPr) of a set.
RegularCompoundInterest,Calculate compound interest with regular intervals.
NthRoot,Find the nth root of a given number.
HeronsFormula,Calculate the area of a triangle given its three sides using Heron's formula.
CirclePerimeter,Calculate the perimeter (circumference) of a circle given its radius.
SphereVolume,Calculate the volume of a sphere given its radius.
CylinderSurfaceArea,Calculate the surface area of a cylinder.
DivisorsFinder,Find all divisors of a given number.
NthPrime,Find the nth prime number.
DepthFirstSearch,Implement a depth-first search (DFS) algorithm for a graph.
BreadthFirstSearch,Implement a breadth-first search (BFS) algorithm for a graph.
PatternPrinter,Create a pattern printer for various shapes such as pyramids and triangles.
ValidPalindromeChecker,"Check if a string is a valid palindrome, ignoring spaces, punctuation, and case."
DequeImplementation,Implement a basic deque (double-ended queue) data structure.
WordFrequencyCounter,Count the frequency of each word in a text file.

